지점명,관측시간,최고기온,최저기온,강수량
서울,2023-01-01,3.8,-4.3,
서울,2023-01-02,-0.4,-7.4,
서울,2023-01-03,0.6,-9.0,
서울,2023-01-04,3.3,-5.7,
서울,2023-01-05,3.6,-5.6,
서울,2023-01-06,5.7,-4.7,3.9
서울,2023-01-07,3.8,-1.4,0.1
서울,2023-01-08,6.3,-3.7,
서울,2023-01-09,7.0,-1.3,
서울,2023-01-10,9.1,-3.9,
서울,2023-01-11,9.2,-2.0,
서울,2023-01-12,12.5,-0.6,0.0
서울,2023-01-13,10.1,5.1,37.3
서울,2023-01-14,8.4,3.8,1.6
서울,2023-01-15,3.8,-3.5,3.2
서울,2023-01-16,-1.2,-6.8,0.0
서울,2023-01-17,-0.4,-7.0,0.0
서울,2023-01-18,2.2,-4.6,0.0
서울,2023-01-19,4.3,-6.0,1.0
서울,2023-01-20,2.0,-7.7,
서울,2023-01-21,1.5,-10.5,
서울,2023-01-22,2.6,-2.8,0.0
서울,2023-01-23,4.6,-6.9,
서울,2023-01-24,-6.9,-17.0,0.0
서울,2023-01-25,-5.4,-17.3,0.0
서울,2023-01-26,-3.5,-9.0,0.8
서울,2023-01-27,-3.8,-9.6,
서울,2023-01-28,-0.6,-11.2,0.0
서울,2023-01-29,4.9,-8.0,
서울,2023-01-30,4.2,-4.4,
부산,2023-01-01,8.7,-2.5,
부산,2023-01-02,6.4,-1.8,
부산,2023-01-03,6.2,-3.5,
부산,2023-01-04,8.1,-3.4,
부산,2023-01-05,8.1,-2.5,
부산,2023-01-06,10.5,-1.4,
부산,2023-01-07,9.2,1.2,0.0
부산,2023-01-08,12.4,-1.7,
부산,2023-01-09,14.8,-0.5,
부산,2023-01-10,13.5,0.1,
부산,2023-01-11,14.5,1.0,
부산,2023-01-12,16.9,1.1,0.2
부산,2023-01-13,17.2,12.7,79.4
부산,2023-01-14,14.0,8.1,1.7
부산,2023-01-15,8.1,0.7,0.5
부산,2023-01-16,6.1,-2.5,
부산,2023-01-17,5.3,-4.0,
부산,2023-01-18,6.5,-2.5,
부산,2023-01-19,7.2,-3.1,
부산,2023-01-20,7.4,-2.8,
부산,2023-01-21,5.5,-6.4,
부산,2023-01-22,4.2,-3.4,
부산,2023-01-23,11.2,-1.5,
부산,2023-01-24,4.1,-11.4,
부산,2023-01-25,-1.0,-13.5,
부산,2023-01-26,3.1,-9.5,
부산,2023-01-27,2.3,-6.4,0.1
부산,2023-01-28,2.1,-8.4,
부산,2023-01-29,7.3,-6.1,
부산,2023-01-30,7.3,-2.3,
제주,2023-01-01,10.9,5.2,
제주,2023-01-02,7.8,3.7,
제주,2023-01-03,8.5,4.5,
제주,2023-01-04,9.9,4.1,
제주,2023-01-05,13.4,4.2,
제주,2023-01-06,12.3,5.6,1.7
제주,2023-01-07,11.4,6.1,0.0
제주,2023-01-08,14.6,3.8,
제주,2023-01-09,16.4,6.6,
제주,2023-01-10,15.3,3.6,
제주,2023-01-11,16.7,7.1,
제주,2023-01-12,17.7,7.4,2.5
제주,2023-01-13,20.7,14.5,17.7
제주,2023-01-14,14.5,8.9,2.2
제주,2023-01-15,9.0,3.8,3.6
제주,2023-01-16,4.0,2.9,
제주,2023-01-17,4.9,3.0,0.0
제주,2023-01-18,7.9,4.7,0.0
제주,2023-01-19,9.5,6.1,0.0
제주,2023-01-20,9.8,2.3,0.0
제주,2023-01-21,5.3,1.7,
제주,2023-01-22,9.5,2.0,5.8
제주,2023-01-23,12.0,5.2,0.1
제주,2023-01-24,5.2,-3.4,2.3
제주,2023-01-25,1.8,-3.1,0.1
제주,2023-01-26,9.6,0.4,0.5
제주,2023-01-27,6.1,-0.1,4.8
제주,2023-01-28,4.7,-0.7,0.8
제주,2023-01-29,8.3,4.4,0.0
제주,2023-01-30,9.5,2.5,
