"시도","시군구","발생년도","발생월","확진자수","사망자수","데이터 기준일자"
"울산광역시","남구","2020","02","8","0","2022-01-26"
"울산광역시","남구","2020","03","9","1","2022-01-26"
"울산광역시","남구","2020","04","1","0","2022-01-26"
"울산광역시","남구","2020","07","2","0","2022-01-26"
"울산광역시","남구","2020","08","18","0","2022-01-26"
"울산광역시","남구","2020","09","20","0","2022-01-26"
"울산광역시","남구","2020","10","2","0","2022-01-26"
"울산광역시","남구","2020","11","9","0","2022-01-26"
"울산광역시","남구","2020","12","292","22","2022-01-26"
"울산광역시","남구","2021","01","28","8","2022-01-26"
"울산광역시","남구","2021","02","11","1","2022-01-26"
"울산광역시","남구","2021","03","18","0","2022-01-26"
"울산광역시","남구","2021","04","259","0","2022-01-26"
"울산광역시","남구","2021","05","255","1","2022-01-26"
"울산광역시","남구","2021","06","58","0","2022-01-26"
"울산광역시","남구","2021","07","121","0","2022-01-26"
"울산광역시","남구","2021","08","292","0","2022-01-26"
"울산광역시","남구","2021","09","316","5","2022-01-26"
"울산광역시","남구","2021","10","87","0","2022-01-26"
"울산광역시","남구","2021","11","91","1","2022-01-26"
"울산광역시","남구","2021","12","299","1","2022-01-26"
"울산광역시","남구","2022","01","327","2","2022-01-26"
