시도,구군,평균
경기도,수원시,0.3975
경기도,성남시,0.5489
경기도,의정부시,0.5362
경기도,안양시,0.4105
경기도,부천시,0.5367
경기도,광명시,0.3612
경기도,평택시,0.1359
경기도,동두천시,0.7414
경기도,안산시,0.2814
경기도,고양시,0.3542
경기도,과천시,0.495
경기도,구리시,0.567
경기도,남양주시,0.1406
경기도,오산시,0.2476
경기도,시흥시,0.2895
경기도,군포시,0.3599
경기도,의왕시,0.3316
경기도,하남시,0.221
경기도,용인시,0.2603
경기도,파주시,0.3232
경기도,이천시,0.316
경기도,안성시,0.1904
경기도,김포시,0.2079
경기도,화성시,0.3758
경기도,광주시,0.3259
경기도,양주시,0.2252
경기도,포천시,0.316
경기도,여주시,0.3271
경기도,연천군,0.3187
경기도,가평군,0.6021
경기도,양평군,0.2278
